product_name,description,price,stock_quantity,brand_name,image_url
Sony Xperia 1 IV SE,Sản phẩm Sony Xperia 1 IV SE chính hãng từ Sony.,40364707,92,Sony,sony_xperia_1_iv_se.jpg
Canon EOS M50 SE,Sản phẩm Canon EOS M50 SE chính hãng từ Canon.,20530030,94,Canon,canon_eos_m50_se.jpg
iPad Pro Max,Sản phẩm iPad Pro Max chính hãng từ Apple.,39597450,46,Apple,ipad_pro_max.jpg
Galaxy A54 Max,Sản phẩm Galaxy A54 Max chính hãng từ Samsung.,40683522,35,Samsung,galaxy_a54_max.jpg
Asus Vivobook SE,Sản phẩm Asus Vivobook SE chính hãng từ Asus.,28220209,85,Asus,asus_vivobook_se.jpg
Sony Alpha A7 III Plus,Sản phẩm Sony Alpha A7 III Plus chính hãng từ Sony.,7469853,74,Sony,sony_alpha_a7_iii_plus.jpg
Canon EOS 90D Pro,Sản phẩm Canon EOS 90D Pro chính hãng từ Canon.,11446177,99,Canon,canon_eos_90d_pro.jpg
iPhone 14 Pro Max Lite,Sản phẩm iPhone 14 Pro Max Lite chính hãng từ Apple.,24509023,79,Apple,iphone_14_pro_max_lite.jpg
Samsung Soundbar Plus,Sản phẩm Samsung Soundbar Plus chính hãng từ Samsung.,15020347,63,Samsung,samsung_soundbar_plus.jpg
Asus Zenbook 14 SE,Sản phẩm Asus Zenbook 14 SE chính hãng từ Asus.,27833481,66,Asus,asus_zenbook_14_se.jpg
Sony Xperia 1 IV Pro,Sản phẩm Sony Xperia 1 IV Pro chính hãng từ Sony.,14780682,18,Sony,sony_xperia_1_iv_pro.jpg
Canon imageCLASS MF244dw Pro,Sản phẩm Canon imageCLASS MF244dw Pro chính hãng từ Canon.,40952790,41,Canon,canon_imageclass_mf244dw_pro.jpg
